200     1170l     5884w        0c http://sar.pg/phpinfo.php
403        9l       28w      271c http://sar.pg/.hta
403        9l       28w      271c http://sar.pg/.hta.txt
403        9l       28w      271c http://sar.pg/.hta.php
403        9l       28w      271c http://sar.pg/.hta.js
403        9l       28w      271c http://sar.pg/.hta.html
403        9l       28w      271c http://sar.pg/.hta.bak
403        9l       28w      271c http://sar.pg/.hta.conf
200        1l        1w        9c http://sar.pg/robots.txt
403        9l       28w      271c http://sar.pg/.htaccess
403        9l       28w      271c http://sar.pg/.htaccess.txt
403        9l       28w      271c http://sar.pg/.htaccess.php
403        9l       28w      271c http://sar.pg/.htaccess.js
403        9l       28w      271c http://sar.pg/.htaccess.html
403        9l       28w      271c http://sar.pg/.htaccess.bak
403        9l       28w      271c http://sar.pg/.htaccess.conf
200      375l      964w    10918c http://sar.pg/index.html
403        9l       28w      271c http://sar.pg/server-status
403        9l       28w      271c http://sar.pg/.htpasswd
403        9l       28w      271c http://sar.pg/.htpasswd.txt
403        9l       28w      271c http://sar.pg/.htpasswd.php
403        9l       28w      271c http://sar.pg/.htpasswd.js
403        9l       28w      271c http://sar.pg/.htpasswd.html
403        9l       28w      271c http://sar.pg/.htpasswd.bak
403        9l       28w      271c http://sar.pg/.htpasswd.conf
