200     1282l     6525w   198518c http://10.10.55.228/ty
200        5l       48w      430c http://10.10.55.228/robots
200        5l       48w      430c http://10.10.55.228/robots.txt
403       10l       30w      288c http://10.10.55.228/cgi-bin/
403       10l       30w      293c http://10.10.55.228/server-status
200     7563l    45392w  1264533c http://10.10.55.228/dinner
200      218l      449w    19867c http://10.10.55.228/iphone
200     1706l    10167w   367650c http://10.10.55.228/nicole
200    19681l   119174w  3847428c http://10.10.55.228/who
200      228l     1265w    39148c http://10.10.55.228/button
301        9l       28w      312c http://10.10.55.228/ready
403       10l       30w      289c http://10.10.55.228/.htaccess
403       10l       30w      293c http://10.10.55.228/.htaccess.txt
403       10l       30w      293c http://10.10.55.228/.htaccess.php
403       10l       30w      297c http://10.10.55.228/cgi-bin/.htaccess
403       10l       30w      301c http://10.10.55.228/cgi-bin/.htaccess.txt
403       10l       30w      301c http://10.10.55.228/cgi-bin/.htaccess.php
403       10l       30w      289c http://10.10.55.228/.htpasswd
403       10l       30w      293c http://10.10.55.228/.htpasswd.txt
301        9l       28w      312c http://10.10.55.228/login
403       10l       30w      293c http://10.10.55.228/.htpasswd.php
200      173l      910w    25557c http://10.10.55.228/egg
200        4l       12w      689c http://10.10.55.228/small
200       85l      385w        0c http://10.10.55.228/index
200       85l      385w        0c http://10.10.55.228/index.php
403       10l       30w      297c http://10.10.55.228/cgi-bin/.htpasswd
403       10l       30w      301c http://10.10.55.228/cgi-bin/.htpasswd.txt
403       10l       30w      301c http://10.10.55.228/cgi-bin/.htpasswd.php
200      350l     2160w    62048c http://10.10.55.228/cat
200     1342l     7701w   253890c http://10.10.55.228/static
403       10l       30w      295c http://10.10.55.228/ready/.htaccess
403       10l       30w      299c http://10.10.55.228/ready/.htaccess.txt
403       10l       30w      299c http://10.10.55.228/ready/.htaccess.php
200        6l       21w      283c http://10.10.55.228/ready/gone
200        6l       21w      283c http://10.10.55.228/ready/gone.php
403       10l       30w      295c http://10.10.55.228/ready/.htpasswd
403       10l       30w      299c http://10.10.55.228/ready/.htpasswd.txt
403       10l       30w      299c http://10.10.55.228/ready/.htpasswd.php
200        9l       30w      276c http://10.10.55.228/ready/index
200        9l       30w      276c http://10.10.55.228/ready/index.php
403       10l       30w      295c http://10.10.55.228/login/.htaccess
403       10l       30w      299c http://10.10.55.228/login/.htaccess.txt
403       10l       30w      299c http://10.10.55.228/login/.htaccess.php
403       10l       30w      295c http://10.10.55.228/login/.htpasswd
403       10l       30w      299c http://10.10.55.228/login/.htpasswd.txt
403       10l       30w      299c http://10.10.55.228/login/.htpasswd.php
200       27l       70w      782c http://10.10.55.228/login/index
200       27l       70w      782c http://10.10.55.228/login/index.php
