200      130l      967w     8404c http://solidstate.htb/services.html
403       11l       32w      298c http://solidstate.htb/.htpasswd
403       11l       32w      302c http://solidstate.htb/.htpasswd.php
403       11l       32w      303c http://solidstate.htb/.htpasswd.html
403       11l       32w      301c http://solidstate.htb/.htpasswd.js
403       11l       32w      302c http://solidstate.htb/.htpasswd.txt
301        9l       28w      317c http://solidstate.htb/assets
403       11l       32w      298c http://solidstate.htb/.htaccess
403       11l       32w      302c http://solidstate.htb/.htaccess.php
403       11l       32w      303c http://solidstate.htb/.htaccess.html
403       11l       32w      301c http://solidstate.htb/.htaccess.js
403       11l       32w      302c http://solidstate.htb/.htaccess.txt
200      179l      680w     7776c http://solidstate.htb/index.html
403       11l       32w      302c http://solidstate.htb/server-status
403       11l       32w      293c http://solidstate.htb/.hta
403       11l       32w      297c http://solidstate.htb/.hta.php
403       11l       32w      298c http://solidstate.htb/.hta.html
403       11l       32w      296c http://solidstate.htb/.hta.js
403       11l       32w      297c http://solidstate.htb/.hta.txt
200       63l     2733w    17128c http://solidstate.htb/LICENSE.txt
200      129l      789w     7183c http://solidstate.htb/about.html
301        9l       28w      317c http://solidstate.htb/images
200       34l      133w      963c http://solidstate.htb/README.txt
