200      384l     3177w    19915c http://192.168.55.89/license.txt
200        0l        0w        0c http://192.168.55.89/wp-blog-header.php
403        9l       28w      278c http://192.168.55.89/.htaccess
403        9l       28w      278c http://192.168.55.89/.htaccess.php
403        9l       28w      278c http://192.168.55.89/.htaccess.html
403        9l       28w      278c http://192.168.55.89/.htaccess.js
403        9l       28w      278c http://192.168.55.89/.htaccess.txt
200        0l        0w        0c http://192.168.55.89/wp-cron.php
405        1l        6w       42c http://192.168.55.89/xmlrpc.php
200       86l      290w     4812c http://192.168.55.89/wp-login.php
301        9l       28w      320c http://192.168.55.89/wp-includes
301        0l        0w        0c http://192.168.55.89/index.php
403        9l       28w      278c http://192.168.55.89/.htpasswd
403        9l       28w      278c http://192.168.55.89/.htpasswd.php
403        9l       28w      278c http://192.168.55.89/.htpasswd.html
403        9l       28w      278c http://192.168.55.89/.htpasswd.js
403        9l       28w      278c http://192.168.55.89/.htpasswd.txt
200       11l       24w      227c http://192.168.55.89/wp-links-opml.php
200        2l        4w       36c http://192.168.55.89/robots.txt
403        9l       28w      278c http://192.168.55.89/.hta
403        9l       28w      278c http://192.168.55.89/.hta.php
403        9l       28w      278c http://192.168.55.89/.hta.html
403        9l       28w      278c http://192.168.55.89/.hta.js
403        9l       28w      278c http://192.168.55.89/.hta.txt
302        0l        0w        0c http://192.168.55.89/wp-signup.php
403        9l       28w      278c http://192.168.55.89/server-status
200        0l        0w        0c http://192.168.55.89/wp-config.php
200        0l        0w        0c http://192.168.55.89/wp-load.php
301        9l       28w      317c http://192.168.55.89/wp-admin
200       46l       46w     3502c http://192.168.55.89/secret.txt
200        5l       15w      135c http://192.168.55.89/wp-trackback.php
403      121l      315w     2709c http://192.168.55.89/wp-mail.php
301        9l       28w      319c http://192.168.55.89/wp-content
301        9l       28w      319c http://192.168.55.89/javascript
200       97l      823w     7278c http://192.168.55.89/readme.html
